"id","display_order","name","viewkey","status_type_id","platform_id","super_app_id","create_user_name","create_date","last_updated_user_name","last_updated_date","language_id","country_id","is_default","title","is_highlighted","old_id","old_status_type_id","old_platform_id","old_super_app_id","fallback_homepage_id"
"1",16,"Homepage","homepage-iq-en",2,1,0,"YUNUS.AYAN","2025-08-28 07:53:11.602848","MACIT.ISIK","2026-06-09 07:00:37.476058",2,13,False,"Homepage",False,"1","1","1","0",NULL
"2",168,"test-taner1","test-taner1",3,1,0,"TANER.CEVHER","2025-08-28 07:58:00.038585","MACIT.ISIK","2026-06-09 07:00:37.476063",2,13,False,"test-taner1",False,"2","3","1","0",NULL
"3",16,"Homepage","homepage",2,1,0,"TANER.CEVHER","2025-08-28 09:43:06.72424","MACIT.ISIK","2026-06-09 07:00:37.476063",2,125,False,"Homepage",True,"3","1","1","0",NULL
"4",15,"Women","women-rs-en",1,1,0,"TANER.CEVHER","2025-08-28 09:43:31.889238","MACIT.ISIK","2026-06-09 07:00:37.476063",2,125,True,"Women",False,"4","1","1","0","9"
"5",17,"Men","men-rs-en",1,1,0,"TANER.CEVHER","2025-08-28 09:43:37.569868","MACIT.ISIK","2026-06-09 07:00:37.476064",2,125,False,"Men",False,"5","1","1","0",NULL
"6",170,"Kids & Baby","kids-baby",3,1,0,"TANER.CEVHER","2025-08-28 09:44:19.172572","MACIT.ISIK","2026-06-09 07:00:37.476064",2,125,False,"Kids & Baby",False,"6","3","1","0",NULL
"7",22,"Deal Zone","dealzone-rs-en",1,1,0,"TANER.CEVHER","2025-08-28 09:59:32.17837","MACIT.ISIK","2026-06-09 07:00:37.476064",2,125,False,"Deal Zone",True,"7","1","1","0",NULL
"8",16,"Homepage","homepage-app",2,21,1,"TANER.CEVHER","2025-08-28 10:03:03.45917","TANER.CEVHER","2026-03-26 11:57:16.783362",2,125,False,"Homepage",False,"8","1","21","1",NULL
"9",15,"Women","women-app",1,21,1,"TANER.CEVHER","2025-08-28 10:03:12.056655","TANER.CEVHER","2026-03-26 11:57:16.783362",2,125,True,"Women",False,"9","1","21","1",NULL
"10",17,"Men","men-app",1,21,1,"TANER.CEVHER","2025-08-28 10:03:19.257399","TANER.CEVHER","2026-03-26 11:57:16.783362",2,125,False,"Men",False,"10","1","21","1",NULL
"11",108,"Kids & Baby","kids-baby-app",3,21,1,"TANER.CEVHER","2025-08-28 10:03:34.259914","TANER.CEVHER","2026-03-26 11:57:16.783363",2,125,False,"Kids & Baby",False,"11","2","21","1",NULL
"12",23,"Deal Zone","deal-zone-app",2,21,1,"TANER.CEVHER","2025-08-28 10:03:45.383443","","2026-06-11 09:08:55.36745",2,125,False,"Deal Zone",True,"12","1","21","1",NULL
"13",172,"r","rr",3,1,0,"YUNUS.AYAN","2025-08-28 11:10:23.309898","MACIT.ISIK","2026-06-09 07:00:37.476064",14,13,False,"r",False,"13","3","1","0",NULL
"14",173,"r","rrr",3,1,0,"YUNUS.AYAN","2025-08-28 11:10:36.32821","MACIT.ISIK","2026-06-09 07:00:37.476064",13,13,False,"r",False,"14","3","1","0",NULL
"15",174,"g","gg",3,1,0,"YUNUS.AYAN","2025-08-28 11:10:48.792788","MACIT.ISIK","2026-06-09 07:00:37.476065",2,50,False,"g",False,"15","3","1","0",NULL
"16",175,"g","g",3,1,0,"YUNUS.AYAN","2025-08-28 11:10:57.798601","MACIT.ISIK","2026-06-09 07:00:37.476065",7,50,False,"g",False,"16","3","1","0",NULL
"17",165,"1","1",3,1,0,"TANER.CEVHER","2025-08-28 11:11:05.107041","MACIT.ISIK","2026-06-09 07:00:37.476065",14,13,False,"1",False,"17","3","1","0",NULL
"18",4,"POČETNA","homepage-rs",2,1,0,"TANER.CEVHER","2025-08-28 11:34:41.13143","MACIT.ISIK","2026-06-09 07:00:37.476065",9,125,False,"POČETNA",False,"18","1","1","0",NULL
"19",3,"ŽENE","women-rs",1,1,0,"TANER.CEVHER","2025-08-28 11:34:50.038424","MACIT.ISIK","2026-06-09 07:00:37.476066",9,125,True,"ŽENE",False,"19","1","1","0",NULL
"20",5,"MUŠKARCI","men-rs",1,1,0,"TANER.CEVHER","2025-08-28 11:34:56.24189","MACIT.ISIK","2026-06-09 07:00:37.476066",9,125,False,"MUŠKARCI",False,"20","1","1","0",NULL
"21",6,"DECA I BEBE","kids-baby-rs",2,1,0,"TANER.CEVHER","2025-08-28 11:35:11.333386","MACIT.ISIK","2026-06-09 07:00:37.476066",9,125,False,"DECA I BEBE",False,"21","2","1","0",NULL
"22",11,"ZONA POPUSTA","deal-zone-rs",1,1,0,"TANER.CEVHER","2025-08-28 11:35:23.014944","MACIT.ISIK","2026-06-09 07:00:37.476068",9,125,False,"ZONA POPUSTA",True,"22","1","1","0",NULL
"23",15,"Women","women-iq-en",1,1,0,"TANER.CEVHER","2025-08-28 11:48:28.9124","MACIT.ISIK","2026-06-09 07:00:37.476068",2,13,True,"Women",False,"23","1","1","0",NULL
"24",17,"Men","men-iq-men",1,1,0,"TANER.CEVHER","2025-08-28 11:48:44.941004","MACIT.ISIK","2026-06-09 07:00:37.476068",2,13,False,"Men",False,"24","1","1","0",NULL
"25",111,"Kids & Baby","kids-baby-iq-en",3,1,0,"TANER.CEVHER","2025-08-28 11:48:58.721107","MACIT.ISIK","2026-06-09 07:00:37.476069",2,13,False,"Kids & Baby",False,"25","1","1","0",NULL
"26",22,"Deal Zone","deal-zone-iq-en",2,1,0,"TANER.CEVHER","2025-08-28 11:49:09.890335","","2026-06-11 07:37:12.788809",2,13,False,"Deal Zone",True,"26","1","1","0",NULL
"27",16,"Homepage","homepage-iq-en-app",2,21,1,"TANER.CEVHER","2025-08-28 11:49:58.611993","TANER.CEVHER","2026-03-26 11:57:16.783363",2,13,False,"Homepage",False,"27","1","21","1",NULL
"28",15,"Women","women-iq-en-app",1,21,1,"TANER.CEVHER","2025-08-28 11:50:09.641404","TANER.CEVHER","2026-03-26 11:57:16.783363",2,13,True,"Women",False,"28","1","21","1",NULL
"29",17,"Men","men-iq-en-app",1,21,1,"TANER.CEVHER","2025-08-28 11:50:23.465132","TANER.CEVHER","2026-03-26 11:57:16.783363",2,13,False,"Men",False,"29","1","21","1",NULL
"30",18,"Kids & Baby","kids-baby-iq-en-app",2,21,1,"TANER.CEVHER","2025-08-28 11:50:43.065614","TANER.CEVHER","2026-03-26 11:57:16.783364",2,13,False,"Kids & Baby",False,"30","2","21","1",NULL
